SampleID GA_Position_1 GA_Position_2 GA_Position_3 GA_Position_4 GA_Position_5 GA_Position_6 GA_Position_7 GA_Position_8 GA_Position_9 CT_Position_1 CT_Position_2 CT_Position_3 CT_Position_4 CT_Position_5 CT_Position_6 CT_Position_7 CT_Position_8 CT_Position_9
S17463.e2e.filter30.A19_0.sorted.mapDamage 0 0.0195439739413681 0.0196078431372549 0.0175438596491228 0.00273972602739726 0.0219178082191781 0.00325732899022801 0 0.00294117647058824 0.00598802395209581 0.00389105058365759 0.00645161290322581 0.0116618075801749 0 0.0115273775216138 0 0.009375 0
S17463.e2e.filter30.A3_1.sorted.mapDamage 0.00138915685896199 0.00303370786516854 0.00225931969373666 0.00160541502147785 0.00175963399612881 0.00162801953623443 0.00141770237701432 0.00218350754936121 0.00246780634450577 0.00271345029239766 0.00192170427716466 0.00191320984433429 0.00109740573284755 0.00249254462099969 0.00134297968201707 0.00114542070347922 0.00203117619272556 0.00231674543601149
S17463.e2e.filter30.A6_0.sorted.mapDamage 0.00111234705228031 0.00984144341170038 0.0104881000403388 0.00597701149425287 0.00779327317473339 0.0012970168612192 0.00692726373082632 0.00784997819450502 0.00561555075593952 0.00940860215053763 0.00540832882639264 0.00250208507089241 0.00407055630936228 0.00348583877995643 0.00784313725490196 0.00326492537313433 0.00438981562774363 0.0117136659436009
S17463.e2e.filter30.A7_0.sorted.mapDamage 0.00181186773365544 0.00359241103169554 0.00269175269175269 0.00232426472779284 0.00233065848477696 0.00269416842898114 0.00292388467947307 0.00230278696268304 0.00332177082720912 0.00446008677447738 0.00304648578903982 0.00297847242701268 0.0025529358762577 0.00297172359968782 0.00322061191626409 0.00205402713805552 0.00242078147791813 0.00252840649465379
S17463.e2e.filter30.Endolith_101.sorted.mapDamage 0.117647058823529 0.0188679245283019 0 0 0 0 0 0 0 0.0769230769230769 0.0540540540540541 0 0.0181818181818182 0 0 0 0.0862068965517241 0
S17463.e2e.filter30.Endolith_106.sorted.mapDamage 0.153846153846154 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0
S17463.e2e.filter30.Endolith_120.sorted.mapDamage 0 0 0 0 0 0.0476190476190476 0 0 0 0 0 0 0 0 0 0 0 0
S17463.e2e.filter30.Endolith_124.sorted.mapDamage 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
S17463.e2e.filter30.Endolith_130.sorted.mapDamage 0.00553505535055351 0 0.00503355704697987 0 0 0.00504201680672269 0 0.00413223140495868 0.00574712643678161 0.0120481927710843 0.00433839479392625 0.00612244897959184 0.00604838709677419 0.0109649122807018 0.005859375 0.00867678958785249 0.00191204588910134 0
S17463.e2e.filter30.Endolith_131.sorted.mapDamage 0.069364161849711 0.00573065902578797 0.00938967136150235 0.0212765957446809 0 0.0169491525423729 0.0025062656641604 0 0.0021551724137931 0.0664819944598338 0.0113960113960114 0.0241758241758242 0.00495049504950495 0.0143540669856459 0.00236406619385343 0.00231481481481481 0.0102040816326531 0.00216450216450216
